date,week,year,month,quarter,product_category,region,units_sold,revenue,avg_price,is_holiday_week
2021-01-01,1,2021,1,1,Electronics,North,11,5698.69,450,0
2021-01-01,1,2021,1,1,Electronics,South,18,5009.08,450,0
2021-01-01,1,2021,1,1,Electronics,East,10,5156.34,450,0
2021-01-01,1,2021,1,1,Electronics,West,18,6631.69,450,0
2021-01-01,1,2021,1,1,Electronics,Central,12,4312.21,450,0
2021-01-01,1,2021,1,1,Clothing,North,35,3188.78,85,0
2021-01-01,1,2021,1,1,Clothing,South,24,2908.07,85,0
2021-01-01,1,2021,1,1,Clothing,East,29,2736.02,85,0
2021-01-01,1,2021,1,1,Clothing,West,41,3356.92,85,0
2021-01-01,1,2021,1,1,Clothing,Central,22,2482.07,85,0
2021-01-01,1,2021,1,1,Home_Appliances,North,8,3043.13,320,0
2021-01-01,1,2021,1,1,Home_Appliances,South,1,2388.51,320,0
2021-01-01,1,2021,1,1,Home_Appliances,East,8,2516.12,320,0
2021-01-01,1,2021,1,1,Home_Appliances,West,10,2769.8,320,0
2021-01-01,1,2021,1,1,Home_Appliances,Central,5,2129.87,320,0
2021-01-01,1,2021,1,1,Food_Beverages,North,129,4207.45,35,0
2021-01-01,1,2021,1,1,Food_Beverages,South,103,3795.68,35,0
2021-01-01,1,2021,1,1,Food_Beverages,East,121,4463.21,35,0
2021-01-01,1,2021,1,1,Food_Beverages,West,129,4866.84,35,0
2021-01-01,1,2021,1,1,Food_Beverages,Central,91,3174.98,35,0
2021-01-01,1,2021,1,1,Furniture,North,3,1738.62,580,0
2021-01-01,1,2021,1,1,Furniture,South,1,1411.12,580,0
2021-01-01,1,2021,1,1,Furniture,East,1,1397.58,580,0
2021-01-01,1,2021,1,1,Furniture,West,8,1744.72,580,0
2021-01-01,1,2021,1,1,Furniture,Central,1,1391.23,580,0
2021-01-08,2,2021,1,1,Electronics,North,16,8401.24,450,1
2021-01-08,2,2021,1,1,Electronics,South,18,6872.89,450,1
2021-01-08,2,2021,1,1,Electronics,East,23,8308.03,450,1
2021-01-08,2,2021,1,1,Electronics,West,17,8687.89,450,1
2021-01-08,2,2021,1,1,Electronics,Central,20,6900.18,450,1
2021-01-08,2,2021,1,1,Clothing,North,57,4930.13,85,1
2021-01-08,2,2021,1,1,Clothing,South,42,4091.64,85,1
2021-01-08,2,2021,1,1,Clothing,East,65,5010.81,85,1
2021-01-08,2,2021,1,1,Clothing,West,69,5486.5,85,1
2021-01-08,2,2021,1,1,Clothing,Central,46,4214.63,85,1
2021-01-08,2,2021,1,1,Home_Appliances,North,20,4257.09,320,1
2021-01-08,2,2021,1,1,Home_Appliances,South,19,3606.99,320,1
2021-01-08,2,2021,1,1,Home_Appliances,East,14,3470.65,320,1
2021-01-08,2,2021,1,1,Home_Appliances,West,12,4582.66,320,1
2021-01-08,2,2021,1,1,Home_Appliances,Central,1,3442.29,320,1
2021-01-08,2,2021,1,1,Food_Beverages,North,182,6326.5,35,1
2021-01-08,2,2021,1,1,Food_Beverages,South,168,5997.43,35,1
2021-01-08,2,2021,1,1,Food_Beverages,East,164,5847.31,35,1
2021-01-08,2,2021,1,1,Food_Beverages,West,209,7271.25,35,1
2021-01-08,2,2021,1,1,Food_Beverages,Central,147,5064.22,35,1
2021-01-08,2,2021,1,1,Furniture,North,9,2513.29,580,1
2021-01-08,2,2021,1,1,Furniture,South,1,2076.26,580,1
2021-01-08,2,2021,1,1,Furniture,East,1,2340.87,580,1
2021-01-08,2,2021,1,1,Furniture,West,6,2764.59,580,1
2021-01-08,2,2021,1,1,Furniture,Central,2,2047.41,580,1
2021-01-15,3,2021,1,1,Electronics,North,14,7482.75,450,1
2021-01-15,3,2021,1,1,Electronics,South,11,6814.23,450,1
2021-01-15,3,2021,1,1,Electronics,East,18,7618.52,450,1
2021-01-15,3,2021,1,1,Electronics,West,22,9535.09,450,1
2021-01-15,3,2021,1,1,Electronics,Central,14,6688.48,450,1
2021-01-15,3,2021,1,1,Clothing,North,51,4414.02,85,1
2021-01-15,3,2021,1,1,Clothing,South,62,4224.27,85,1
2021-01-15,3,2021,1,1,Clothing,East,55,4606.79,85,1
2021-01-15,3,2021,1,1,Clothing,West,56,5309.33,85,1
2021-01-15,3,2021,1,1,Clothing,Central,53,4262.52,85,1
2021-01-15,3,2021,1,1,Home_Appliances,North,8,4214.48,320,1
2021-01-15,3,2021,1,1,Home_Appliances,South,4,3783.7,320,1
2021-01-15,3,2021,1,1,Home_Appliances,East,23,3989.27,320,1
2021-01-15,3,2021,1,1,Home_Appliances,West,10,4226.92,320,1
2021-01-15,3,2021,1,1,Home_Appliances,Central,7,3338.7,320,1
2021-01-15,3,2021,1,1,Food_Beverages,North,166,5806.41,35,1
2021-01-15,3,2021,1,1,Food_Beverages,South,148,5103.24,35,1
2021-01-15,3,2021,1,1,Food_Beverages,East,171,5721.92,35,1
2021-01-15,3,2021,1,1,Food_Beverages,West,187,6624.95,35,1
2021-01-15,3,2021,1,1,Food_Beverages,Central,148,5417.02,35,1
2021-01-15,3,2021,1,1,Furniture,North,10,2455.79,580,1
2021-01-15,3,2021,1,1,Furniture,South,4,1904.44,580,1
2021-01-15,3,2021,1,1,Furniture,East,7,2349.3,580,1
2021-01-15,3,2021,1,1,Furniture,West,1,2500.84,580,1
2021-01-15,3,2021,1,1,Furniture,Central,5,2049.59,580,1
2021-01-22,4,2021,1,1,Electronics,North,14,5721.78,450,0
2021-01-22,4,2021,1,1,Electronics,South,11,4582.99,450,0
2021-01-22,4,2021,1,1,Electronics,East,8,5483.28,450,0
2021-01-22,4,2021,1,1,Electronics,West,17,6878.94,450,0
2021-01-22,4,2021,1,1,Electronics,Central,12,4122.95,450,0
2021-01-22,4,2021,1,1,Clothing,North,40,3146.54,85,0
2021-01-22,4,2021,1,1,Clothing,South,33,3197.55,85,0
2021-01-22,4,2021,1,1,Clothing,East,42,3458.01,85,0
2021-01-22,4,2021,1,1,Clothing,West,55,3885.07,85,0
2021-01-22,4,2021,1,1,Clothing,Central,28,2706.94,85,0
2021-01-22,4,2021,1,1,Home_Appliances,North,4,2647.14,320,0
2021-01-22,4,2021,1,1,Home_Appliances,South,9,2424.39,320,0
2021-01-22,4,2021,1,1,Home_Appliances,East,12,2751.97,320,0
2021-01-22,4,2021,1,1,Home_Appliances,West,16,3084.47,320,0
2021-01-22,4,2021,1,1,Home_Appliances,Central,20,2258.47,320,0
2021-01-22,4,2021,1,1,Food_Beverages,North,128,4646.75,35,0
2021-01-22,4,2021,1,1,Food_Beverages,South,102,3497.5,35,0
2021-01-22,4,2021,1,1,Food_Beverages,East,122,4172.91,35,0
2021-01-22,4,2021,1,1,Food_Beverages,West,142,5002.2,35,0
2021-01-22,4,2021,1,1,Food_Beverages,Central,88,3367.1,35,0
2021-01-22,4,2021,1,1,Furniture,North,7,1640.24,580,0
2021-01-22,4,2021,1,1,Furniture,South,1,1488.54,580,0
2021-01-22,4,2021,1,1,Furniture,East,4,1637.62,580,0
2021-01-22,4,2021,1,1,Furniture,West,3,1741.75,580,0
2021-01-22,4,2021,1,1,Furniture,Central,1,1392.84,580,0
2021-01-29,5,2021,1,1,Electronics,North,16,6322.55,450,0
2021-01-29,5,2021,1,1,Electronics,South,18,5770.0,450,0
2021-01-29,5,2021,1,1,Electronics,East,7,5347.48,450,0
2021-01-29,5,2021,1,1,Electronics,West,18,6947.22,450,0
2021-01-29,5,2021,1,1,Electronics,Central,30,5261.92,450,0
2021-01-29,5,2021,1,1,Clothing,North,51,3932.29,85,0
2021-01-29,5,2021,1,1,Clothing,South,44,3506.7,85,0
2021-01-29,5,2021,1,1,Clothing,East,45,3547.1,85,0
2021-01-29,5,2021,1,1,Clothing,West,45,3954.82,85,0
2021-01-29,5,2021,1,1,Clothing,Central,35,2988.74,85,0
2021-01-29,5,2021,1,1,Home_Appliances,North,1,3614.77,320,0
2021-01-29,5,2021,1,1,Home_Appliances,South,1,2859.29,320,0
2021-01-29,5,2021,1,1,Home_Appliances,East,14,2914.19,320,0
2021-01-29,5,2021,1,1,Home_Appliances,West,5,3451.22,320,0
2021-01-29,5,2021,1,1,Home_Appliances,Central,11,2435.71,320,0
2021-01-29,5,2021,1,1,Food_Beverages,North,128,4443.88,35,0
2021-01-29,5,2021,1,1,Food_Beverages,South,112,4054.33,35,0
2021-01-29,5,2021,1,1,Food_Beverages,East,150,5151.04,35,0
2021-01-29,5,2021,1,1,Food_Beverages,West,128,4454.79,35,0
2021-01-29,5,2021,1,1,Food_Beverages,Central,107,3615.35,35,0
2021-01-29,5,2021,1,1,Furniture,North,2,1785.78,580,0
2021-01-29,5,2021,1,1,Furniture,South,7,1684.99,580,0
2021-01-29,5,2021,1,1,Furniture,East,1,1651.35,580,0
2021-01-29,5,2021,1,1,Furniture,West,1,1994.87,580,0
2021-01-29,5,2021,1,1,Furniture,Central,5,1750.75,580,0
2021-02-05,6,2021,2,1,Electronics,North,18,6223.99,450,0
2021-02-05,6,2021,2,1,Electronics,South,19,6659.71,450,0
2021-02-05,6,2021,2,1,Electronics,East,10,5814.76,450,0
2021-02-05,6,2021,2,1,Electronics,West,13,7846.78,450,0
2021-02-05,6,2021,2,1,Electronics,Central,16,5682.54,450,0
2021-02-05,6,2021,2,1,Clothing,North,46,3980.92,85,0
2021-02-05,6,2021,2,1,Clothing,South,28,2852.29,85,0
2021-02-05,6,2021,2,1,Clothing,East,40,3951.7,85,0
2021-02-05,6,2021,2,1,Clothing,West,51,4977.29,85,0
2021-02-05,6,2021,2,1,Clothing,Central,39,3333.52,85,0
2021-02-05,6,2021,2,1,Home_Appliances,North,4,3761.66,320,0
2021-02-05,6,2021,2,1,Home_Appliances,South,10,3232.4,320,0
2021-02-05,6,2021,2,1,Home_Appliances,East,12,3119.23,320,0
2021-02-05,6,2021,2,1,Home_Appliances,West,8,3828.99,320,0
2021-02-05,6,2021,2,1,Home_Appliances,Central,6,2855.84,320,0
2021-02-05,6,2021,2,1,Food_Beverages,North,144,4941.26,35,0
2021-02-05,6,2021,2,1,Food_Beverages,South,129,4743.61,35,0
2021-02-05,6,2021,2,1,Food_Beverages,East,143,5364.55,35,0
2021-02-05,6,2021,2,1,Food_Beverages,West,154,5302.27,35,0
2021-02-05,6,2021,2,1,Food_Beverages,Central,114,4103.05,35,0
2021-02-05,6,2021,2,1,Furniture,North,1,2039.97,580,0
2021-02-05,6,2021,2,1,Furniture,South,7,1712.64,580,0
2021-02-05,6,2021,2,1,Furniture,East,1,2013.93,580,0
2021-02-05,6,2021,2,1,Furniture,West,5,2360.62,580,0
2021-02-05,6,2021,2,1,Furniture,Central,6,1787.05,580,0
2021-02-12,7,2021,2,1,Electronics,North,10,6142.72,450,0
2021-02-12,7,2021,2,1,Electronics,South,16,5890.38,450,0
2021-02-12,7,2021,2,1,Electronics,East,14,6171.67,450,0
2021-02-12,7,2021,2,1,Electronics,West,13,7573.96,450,0
2021-02-12,7,2021,2,1,Electronics,Central,11,5516.01,450,0
2021-02-12,7,2021,2,1,Clothing,North,52,3957.05,85,0
2021-02-12,7,2021,2,1,Clothing,South,47,3660.67,85,0
2021-02-12,7,2021,2,1,Clothing,East,48,4140.37,85,0
2021-02-12,7,2021,2,1,Clothing,West,51,4537.44,85,0
2021-02-12,7,2021,2,1,Clothing,Central,38,3358.13,85,0
2021-02-12,7,2021,2,1,Home_Appliances,North,13,3346.0,320,0
